TIME	nx1r	ny1r	nz1r	mx1r	my1r	mz1r	nx2r	ny2r	nz2r	mx2r	my2r	mz2r
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	-5.030752e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.611917e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	-6.267937e-11	0.000000e+00	8.919801e+00	0.000000e+00	-3.730349e-17	0.000000e+00	-6.259020e-11	0.000000e+00	9.790600e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	-7.351919e-13	0.000000e+00	8.929863e+00	0.000000e+00	-5.850238e-14	0.000000e+00	-2.812124e-13	0.000000e+00	9.789878e+00	0.000000e+00	-2.134921e-14	0.000000e+00
4.000000e+00	-7.351919e-13	-1.473973e+01	8.929863e+00	0.000000e+00	-5.850238e-14	0.000000e+00	-2.812124e-13	-1.432143e+01	9.789878e+00	0.000000e+00	-2.134921e-14	0.000000e+00
4.050000e+00	-8.947610e-13	-4.053595e-01	1.242263e+01	2.108185e-02	-6.121576e-14	-5.622207e-17	-2.671644e-13	-1.189662e-01	1.330574e+01	2.040652e-03	-1.886969e-14	2.424473e-16
4.100000e+00	-1.472387e-12	-1.762757e-01	2.393709e+01	1.219299e-02	-7.116946e-14	5.558636e-17	-2.010232e-13	-4.470309e-02	2.481695e+01	4.003112e-03	-1.077356e-14	-2.346990e-16
4.150000e+00	-1.744911e-12	-2.497325e-01	2.590618e+01	6.592065e-03	-7.882338e-14	1.535118e-17	-2.167593e-13	-6.987236e-03	2.666356e+01	-2.347052e-03	-8.110812e-15	4.795285e-17
4.200000e+00	-6.997537e-14	1.387152e-01	-6.192087e+00	-5.475720e-03	-5.319516e-14	-1.540483e-17	-3.450764e-13	9.350159e-03	-5.385508e+00	-3.864302e-04	-3.778476e-14	-2.166132e-16
4.250000e+00	3.209417e-12	-7.461721e-01	-2.673370e+01	4.928067e-02	3.439114e-13	-1.300772e-16	8.672413e-12	-1.302251e+00	-2.562743e+01	-2.720624e-02	-1.023494e-13	-3.827298e-16
4.300000e+00	1.231183e-11	-1.664358e+00	9.568270e+00	4.630055e-02	4.402750e-13	-1.235303e-15	6.187986e-12	-8.965144e-01	1.042335e+01	-4.823111e-02	-2.384003e-13	-8.525595e-16
4.350000e+00	-7.326734e-12	2.360187e+00	4.394477e+01	-7.478503e-02	-2.241218e-13	-3.877946e-15	-1.037007e-12	2.051091e-01	4.462060e+01	1.742844e-02	7.596250e-14	4.450672e-15
4.400000e+00	-7.377850e-12	1.440129e+00	2.895660e+01	-4.558106e-02	-2.314343e-13	-3.355738e-15	-5.960943e-13	1.271600e-01	2.984642e+01	1.033337e-02	5.572532e-14	-4.450997e-16
4.450000e+00	7.880808e-12	-1.695117e+00	-1.422217e+00	7.221907e-02	2.247295e-13	1.570537e-15	3.412924e-12	-8.624885e-01	-6.038246e-01	-2.190121e-02	-1.933340e-13	3.143505e-15
4.500000e+00	-6.902631e-13	5.545013e-01	-1.421596e+01	9.143762e-02	2.628474e-13	3.878823e-15	4.927406e-12	-1.196227e+00	-1.314877e+01	6.700807e-02	1.060332e-13	2.070291e-15
4.550000e+00	5.949684e-12	-1.237630e+00	-3.865103e-01	1.403048e-01	3.734541e-13	4.449944e-16	4.427296e-12	-1.121776e+00	5.676005e-01	5.407867e-02	-7.599162e-15	2.188077e-15
4.600000e+00	3.747043e-12	-3.368648e+00	1.979655e+01	1.479870e-01	1.085464e-13	-5.549244e-15	1.216404e-12	-8.128923e-01	2.084147e+01	-4.413943e-03	-7.360675e-14	-1.301819e-14
4.650000e+00	-9.145738e-12	-6.821809e-01	2.925768e+01	3.310825e-02	-3.058674e-13	7.950302e-15	-1.755578e-12	1.558205e-02	3.004277e+01	9.884948e-03	8.739744e-14	-1.031645e-14
4.700000e+00	-2.004516e-12	1.085194e+00	2.478274e+01	-4.027318e-02	-1.089750e-13	2.773090e-15	-1.677669e-13	2.016253e-01	2.562002e+01	5.625556e-03	-3.172594e-14	-2.432532e-15
4.750000e+00	3.044479e-12	3.636553e-01	6.375638e+00	-4.408771e-02	9.339535e-14	-1.074992e-15	1.525821e-12	2.188852e-01	7.273461e+00	-2.214069e-02	-7.332059e-14	-3.599516e-15
4.800000e+00	-1.081600e-12	-2.979986e-01	-1.248568e+01	-3.917068e-02	-1.598599e-14	9.983422e-15	-2.850504e-13	1.536488e-01	-1.165055e+01	-4.515650e-02	3.512913e-14	1.043004e-14
4.850000e+00	-8.296119e-13	-3.310248e-01	-4.296873e+00	-4.646358e-02	-3.466344e-15	7.266420e-15	-4.973700e-13	1.003877e-01	-3.257458e+00	-5.440615e-02	4.754113e-14	7.454208e-15
4.900000e+00	2.225716e-12	2.231641e+00	2.336703e+01	-1.057761e-01	7.448613e-14	4.935750e-15	8.286990e-13	2.862069e-01	2.414518e+01	-1.548116e-02	-3.698206e-14	3.362656e-15
4.950000e+00	-2.416488e-12	3.178319e+00	3.710436e+01	-1.090039e-01	-1.043059e-13	-5.364715e-15	-2.528827e-13	2.885498e-01	3.813872e+01	1.568317e-02	-8.723818e-15	-3.989685e-16
5.000000e+00	-5.772505e-12	-4.479823e-01	2.406935e+01	1.806010e-02	-2.177255e-13	-1.136223e-14	-1.047805e-12	-1.304587e-01	2.471223e+01	-3.601456e-03	2.833867e-14	-2.929477e-15
5.050000e+00	1.077208e-12	-1.436275e+00	-2.600680e+00	1.228097e-01	-2.211716e-14	-6.935899e-15	1.325762e-13	-1.173747e+00	-1.518972e+00	2.709566e-02	-6.638579e-14	-1.577695e-15
5.100000e+00	2.372575e-12	2.393699e-01	-9.350822e+00	1.471142e-01	1.601857e-13	-2.596548e-15	2.953256e-12	-1.296001e+00	-8.332801e+00	1.072651e-01	-3.700283e-14	-1.943055e-16
5.150000e+00	3.053595e-12	-2.810499e+00	7.807622e+00	2.116005e-01	1.401262e-13	-2.538116e-15	1.609510e-12	-1.247699e+00	9.003699e+00	6.379480e-02	-3.005106e-14	-3.702813e-15
5.200000e+00	-1.427293e-12	-5.200636e+00	2.710338e+01	2.045887e-01	-6.562865e-14	6.933486e-15	-3.267692e-13	-7.679052e-01	2.831987e+01	-1.131745e-02	-4.488213e-15	-4.284456e-15
5.250000e+00	-4.517922e-12	-8.146428e-01	3.764651e+01	3.419441e-02	-1.528514e-13	1.121185e-14	-4.271829e-13	4.213873e-02	3.836856e+01	7.330840e-03	2.448530e-14	2.046323e-16
5.300000e+00	-2.860117e-13	2.221221e+00	2.348490e+01	-9.107073e-02	-4.016082e-14	2.515714e-15	3.228067e-14	4.373616e-01	2.430148e+01	4.588928e-03	-3.218037e-14	-2.032695e-15
5.350000e+00	5.889133e-13	3.226731e-01	-4.207428e+00	-9.494421e-02	1.506228e-14	2.148951e-15	5.258025e-13	6.622599e-01	-3.121245e+00	-5.783695e-02	-2.380670e-14	7.408063e-16
5.400000e+00	4.455015e-13	-3.851728e-01	-5.860264e+00	-9.057132e-02	1.923421e-14	4.068451e-15	4.898162e-13	2.880540e-01	-5.065594e+00	-9.492038e-02	-1.398692e-14	3.713771e-15
5.450000e+00	3.375520e-13	2.820818e+00	1.465531e+01	-1.749667e-01	-6.735683e-15	2.147953e-15	1.498856e-13	7.422306e-01	1.589496e+01	-4.462065e-02	-2.274833e-14	1.366446e-15
5.500000e+00	-2.497501e-12	5.751930e+00	3.553518e+01	-2.023721e-01	-9.828061e-14	-3.736879e-15	-1.773911e-13	4.625666e-01	3.654273e+01	1.951312e-02	-3.780332e-15	5.898924e-16
5.550000e+00	-3.462197e-12	7.317274e-01	3.446091e+01	-3.022538e-02	-1.339699e-13	-6.395275e-15	-4.048608e-13	4.861591e-02	3.535603e+01	-1.532644e-03	5.166716e-15	8.861015e-16
5.600000e+00	-1.175995e-12	-3.194977e+00	2.002136e+01	1.441334e-01	-6.879634e-14	-4.712196e-15	-1.827058e-13	-7.420608e-01	2.078654e+01	1.278063e-04	-2.079527e-14	1.782610e-15
5.650000e+00	3.922260e-13	-1.491797e+00	-1.703816e+00	1.812693e-01	-1.370181e-14	-3.906311e-15	8.304390e-14	-1.445151e+00	-2.997204e-01	7.365193e-02	-3.084991e-14	-1.302350e-15
5.700000e+00	4.069118e-14	-1.590627e+00	2.183536e+00	1.898763e-01	-4.809141e-15	-2.404758e-15	9.109907e-14	-1.135639e+00	3.123094e+00	8.907889e-02	-1.078098e-14	-1.493667e-15
5.750000e+00	1.028652e-13	-4.341874e+00	1.800920e+01	2.178603e-01	-7.309233e-15	4.626935e-16	-2.482305e-14	-9.869127e-01	1.942538e+01	2.508695e-02	-9.672431e-15	1.484529e-15
5.800000e+00	-1.236779e-12	-3.573619e+00	3.483866e+01	1.277531e-01	-5.735430e-14	6.521968e-16	-4.356822e-14	-3.326518e-01	3.571286e+01	-1.303353e-02	-1.270031e-14	-1.412367e-15
5.850000e+00	-3.784437e-12	2.170915e+00	3.736856e+01	-7.668801e-02	-1.467959e-13	4.741602e-15	-2.899031e-13	1.702334e-01	3.812131e+01	8.339281e-03	-2.030430e-16	-3.044426e-15
5.900000e+00	-2.991306e-12	3.791614e+00	1.553248e+01	-1.906621e-01	-1.539818e-13	5.252960e-15	-8.639257e-13	1.052848e+00	1.666903e+01	-1.487387e-02	-1.374487e-14	1.072937e-15
5.950000e+00	5.635865e-14	7.957319e-01	-3.751339e+00	-1.639471e-01	-4.823789e-14	1.479734e-15	-2.617909e-13	1.244662e+00	-2.580579e+00	-8.781187e-02	-3.736794e-14	-1.317902e-15
6.000000e+00	9.738420e-13	1.519663e+00	5.244141e+00	-1.545015e-01	3.661708e-14	4.152387e-16	6.185693e-13	7.840569e-01	6.224228e+00	-7.087687e-02	-2.042343e-14	-2.316762e-15
6.050000e+00	5.844601e-13	3.697253e+00	2.251628e+01	-1.629048e-01	1.164328e-14	2.712483e-15	1.549142e-13	6.820925e-01	2.363900e+01	-3.740713e-03	-1.403610e-14	2.654764e-15
6.100000e+00	-2.106680e-12	1.303434e+00	3.427241e+01	-4.470569e-02	-8.691166e-14	-1.342430e-15	-2.301578e-13	1.722602e-01	3.507147e+01	7.635862e-03	-4.314751e-15	2.870670e-15
6.150000e+00	-3.244465e-12	-3.567544e+00	3.287919e+01	1.341569e-01	-1.280202e-13	-4.188339e-15	-4.027216e-13	-3.310534e-01	3.373909e+01	-5.735609e-03	3.832291e-15	1.403422e-15
6.200000e+00	-8.362803e-13	-3.682776e+00	1.251159e+01	2.084367e-01	-6.164224e-14	-3.492995e-15	-2.885920e-13	-1.200360e+00	1.379637e+01	2.963951e-02	-2.197322e-14	1.903182e-15
6.250000e+00	6.309160e-13	-9.317580e-01	-3.342662e+00	1.703945e-01	1.472435e-14	-2.121834e-15	4.000394e-13	-1.264859e+00	-2.279601e+00	8.989439e-02	-2.318374e-14	8.634132e-16
