TIME	KIN_EN	STRAIN_EN	GRAV_EN	MECH_EN	TIMESTEP	F_CRIT	M_CRIT	DISP_CRIT	ROT_CRIT	
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e-04	1.000000e-04	1.000000e-09	1.000000e-09	
2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e-04	1.000000e-04	1.000000e-09	1.000000e-09	
3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e-04	1.000000e-04	1.000000e-09	1.000000e-09	
4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	3.840687e-03	1.000000e-04	1.000000e-09	3.218830e-06	
4.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.199339e-03	1.226433e-04	2.251607e-06	2.634441e-06	
4.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.117738e-03	1.113217e-04	1.347009e-06	1.056698e-06	
4.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.328547e-03	1.075478e-04	2.507404e-06	1.583764e-06	
4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.246925e-03	1.056608e-04	3.162412e-06	1.740896e-06	
4.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.284661e-03	1.045287e-04	1.269050e-06	1.198909e-05	
4.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.392514e-03	1.037739e-04	2.834151e-06	3.622351e-06	
4.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.334444e-03	1.032348e-04	2.940736e-06	1.318647e-05	
4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.321712e-03	1.028304e-04	1.416309e-06	6.080838e-06	
4.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.374641e-03	1.025159e-04	3.333259e-06	1.229014e-05	
4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.324228e-03	1.022643e-04	2.305328e-06	1.433528e-05	
4.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.293785e-03	1.020585e-04	2.038000e-06	8.955978e-06	
4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.319322e-03	1.018869e-04	2.642133e-06	1.244901e-05	
4.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.275161e-03	1.017418e-04	2.390382e-06	1.211525e-05	
4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.242454e-03	1.016174e-04	2.956525e-06	1.257869e-05	
4.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.257939e-03	1.015096e-04	2.678895e-06	1.155892e-05	
4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.219482e-03	1.014152e-04	2.022427e-06	9.655202e-06	
4.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.185922e-03	1.013320e-04	1.479042e-06	6.832806e-06	
4.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.196712e-03	1.012580e-04	2.960972e-06	6.273720e-06	
4.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.164842e-03	1.011918e-04	2.403024e-06	8.940271e-06	
5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.131903e-03	1.011322e-04	3.179018e-06	1.337713e-05	
5.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.139424e-03	1.010783e-04	3.209930e-06	1.545964e-05	
5.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.113183e-03	1.010292e-04	3.199875e-06	1.607870e-05	
5.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.086038e-03	1.009845e-04	2.263927e-06	6.696331e-06	
5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.091371e-03	1.009435e-04	2.774646e-06	1.255919e-05	
5.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.081527e-03	1.009057e-04	4.508816e-06	1.801299e-05	
5.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.072075e-03	1.008709e-04	4.843601e-06	1.508413e-05	
5.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.074472e-03	1.008386e-04	4.027839e-06	1.404516e-05	
5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.054847e-03	1.008087e-04	3.046983e-06	1.080699e-05	
5.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.037346e-03	1.007808e-04	2.289687e-06	8.592738e-06	
5.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.038529e-03	1.007548e-04	3.005003e-06	1.239662e-05	
5.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.034618e-03	1.007304e-04	5.412192e-06	1.818234e-05	
5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.028842e-03	1.007076e-04	5.265249e-06	2.010490e-05	
5.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.028256e-03	1.006862e-04	4.008282e-06	1.512045e-05	
5.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.014527e-03	1.006660e-04	2.316785e-06	8.194116e-06	
5.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	1.001706e-03	1.006470e-04	2.656380e-06	7.816273e-06	
5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.995983e-04	1.006290e-04	5.101223e-06	1.617181e-05	
5.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.997722e-04	1.006120e-04	6.197407e-06	2.164263e-05	
5.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.922270e-04	1.005959e-04	4.807128e-06	1.565795e-05	
5.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.892850e-04	1.005806e-04	2.874659e-06	1.001841e-05	
6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.792162e-04	1.005661e-04	7.761939e-07	3.063950e-06	
6.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.713182e-04	1.005523e-04	3.591904e-06	1.247657e-05	
6.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.703231e-04	1.005391e-04	5.726910e-06	1.490554e-05	
6.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.686325e-04	1.005266e-04	5.561284e-06	1.896009e-05	
6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.595272e-04	1.005146e-04	3.291217e-06	1.250859e-05	
6.250000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.544597e-04	1.005032e-04	1.961666e-06	6.215944e-06	
6.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.472593e-04	1.004922e-04	1.888883e-06	6.463082e-06	
6.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.399346e-04	1.004818e-04	3.898216e-06	1.532316e-05	
6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.410811e-04	1.004717e-04	5.702324e-06	1.756914e-05	
6.450000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.357790e-04	1.004621e-04	4.337784e-06	1.729671e-05	
6.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.296701e-04	1.004529e-04	3.204288e-06	8.929321e-06	
6.550000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.233951e-04	1.004440e-04	1.443280e-06	7.981187e-06	
6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.187736e-04	1.004354e-04	1.925009e-06	6.710099e-06	
6.650000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.125207e-04	1.004272e-04	3.814929e-06	1.681404e-05	
6.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.123522e-04	1.004193e-04	5.282644e-06	1.595335e-05	
6.750000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.084251e-04	1.004117e-04	3.967573e-06	1.673121e-05	
6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	9.028446e-04	1.004043e-04	3.036784e-06	1.069898e-05	
6.850000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	8.953187e-04	1.003973e-04	9.787953e-07	8.412326e-06	
6.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	8.923940e-04	1.003904e-04	2.238353e-06	6.821948e-06	
6.950000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	8.873706e-04	1.003838e-04	3.786555e-06	1.636028e-05	
