TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ	FXROT	FYROT	FZROT	MXROT	MYROT	MZROT	dX	dY	dZ	dROTX	dROTY	dROTZ	ddX	ddY	ddZ	ddROTX	ddROTY	ddROTZ
0.000000e+00	6.380000e-01	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	6.380000e-01	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.965299e-01	0.000000e+00	-3.631898e-20	0.000000e+00	0.000000e+00	0.000000e+00	4.965299e-01	0.000000e+00	-3.631898e-20	0.000000e+00	0.000000e+00	0.000000e+00	-4.965299e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.965299e-07	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	0.000000e+00	0.000000e+00	-2.907440e+00	0.000000e+00	-1.570796e+00	0.000000e+00	1.197817e-13	0.000000e+00	-1.507534e-09	0.000000e+00	-2.708788e-12	0.000000e+00	-1.507534e-09	0.000000e+00	-1.197817e-13	0.000000e+00	-2.708788e-12	0.000000e+00	-6.380000e-01	0.000000e+00	6.445603e-01	0.000000e+00	-2.000000e+00	0.000000e+00	-6.380000e-01	0.000000e+00	6.445603e-01	0.000000e+00	-2.000000e+00	0.000000e+00
3.000000e+00	-3.709554e-15	0.000000e+00	-2.907440e+00	0.000000e+00	-1.570796e+00	0.000000e+00	-8.582807e-27	0.000000e+00	1.030287e-13	0.000000e+00	-3.837069e-28	0.000000e+00	1.030287e-13	0.000000e+00	9.177608e-27	0.000000e+00	-3.837069e-28	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	-3.709554e-15	1.000000e-02	-2.907440e+00	0.000000e+00	-1.570796e+00	0.000000e+00	-8.582807e-27	1.553285e+00	1.030287e-13	-4.025230e-05	-3.837069e-28	3.585903e-18	1.030287e-13	1.553285e+00	9.177608e-27	3.353520e-18	-3.837069e-28	4.025230e-05	0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.050000e+00	-3.705408e-15	9.728986e-03	-2.905524e+00	6.838490e-04	-1.570796e+00	-6.838490e-04	2.957215e-22	2.307043e-13	-7.460699e-14	-1.122757e-14	-1.198425e-23	-2.870189e-25	-7.480783e-14	2.306393e-13	-2.957217e-22	-2.766489e-25	-1.198450e-23	1.122757e-14	1.658559e-16	-2.084058e-02	7.664537e-02	3.482815e-02	-2.109035e-15	-3.399376e-14	5.528528e-15	-1.034686e+00	2.554846e+00	1.160938e+00	-7.030118e-14	-1.133125e-12
4.100000e+00	-3.645261e-15	7.206575e-03	-2.899383e+00	1.985341e-03	-1.570795e+00	-1.985341e-03	3.079922e-23	-6.503409e-13	1.339373e-12	2.414997e-13	-7.246610e-24	-3.148818e-26	1.341013e-12	-6.469531e-13	-3.079291e-23	-1.182942e-26	-7.246249e-24	-2.414997e-13	2.240033e-15	-8.005583e-02	1.689746e-01	3.145631e-02	-2.270474e-14	-1.315723e-15	6.545355e-14	-1.284051e+00	1.374411e+00	-8.863535e-01	-6.410776e-13	1.843679e-12
4.150000e+00	-3.351530e-15	2.149787e-03	-2.899224e+00	1.688088e-03	-1.570796e+00	-1.688088e-03	-1.135960e-27	7.646661e-15	-5.684342e-14	1.730387e-16	-2.000996e-30	-4.743999e-31	-5.685972e-14	7.524468e-15	9.788523e-28	2.939200e-32	-1.843031e-30	-1.730387e-16	9.509191e-15	-1.222157e-01	-1.626169e-01	-4.659529e-02	-5.984366e-14	3.353746e-14	1.986696e-13	-5.492955e-01	-1.196932e+01	-2.010818e+00	-8.113974e-13	-6.873836e-14
4.200000e+00	-2.721295e-15	-4.296593e-03	-2.915835e+00	-1.287610e-03	-1.570796e+00	1.287610e-03	-3.085038e-27	5.234528e-15	-8.593126e-14	2.088181e-16	8.191295e-29	4.399445e-31	-8.592256e-14	5.375400e-15	3.200932e-27	2.960334e-31	8.196876e-29	-2.088181e-16	1.570020e-14	-1.356395e-01	-5.018122e-01	-1.049559e-01	-1.068603e-13	-7.709822e-15	7.392051e-14	-8.126164e-02	-3.326959e+00	-6.048101e-01	-1.028474e-12	-1.326634e-12
4.250000e+00	-1.138738e-14	-1.008637e-02	-2.926201e+00	-1.267670e-02	-1.570759e+00	1.267670e-02	-2.221432e-27	-3.608225e-15	7.638334e-14	8.257718e-16	4.688459e-28	2.404938e-29	7.631516e-14	-4.840567e-15	3.698086e-28	1.144393e-29	4.655089e-28	-8.257718e-16	-3.623438e-13	-9.595164e-02	8.717868e-02	-4.750970e-01	-8.130806e-13	1.675784e-13	-1.265075e-11	1.377102e+00	2.185100e+01	-1.193483e+01	-2.282276e-11	6.755318e-12
